dataset,dataset_kind,ablation,model,status,n_nodes,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,IsolationForest,ok,3783,21,3026,757,383,307,76,0.705078125,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__IsolationForest.json,0.92628873946982,0.49589324394849743,76,40,0.5263157894736842,0.5263157894736842,1.0,7,5,0.7142857142857143,0.06578947368421052,1.0,37,18,0.4864864864864865,0.23684210526315788,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,LogisticRegression,ok,3783,21,3026,757,383,307,76,0.13413000106811523,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__LogisticRegression.json,0.9998840714120102,0.9989559947715566,76,75,0.9868421052631579,0.9868421052631579,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_Alpha,bitcoin_signed_graph_pseudo_labels,struct_only,RandomForest,ok,3783,21,3026,757,383,307,76,1.198155164718628,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_Alpha__struct_only__RandomForest.json,1.0,1.0,76,76,1.0,1.0,1.0,7,7,1.0,0.09210526315789473,1.0,37,37,1.0,0.4868421052631579,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,attr_only,ExtraTrees,ok,5881,1,4704,1177,591,473,118,0.6732487678527832,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__attr_only__ExtraTrees.json,0.5,0.10025488530161428,118,15,0.1271186440677966,0.1271186440677966,1.0,11,1,0.09090909090909091,0.00847457627118644,1.0,58,8,0.13793103448275862,0.06779661016949153,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,attr_only,GradientBoosting,ok,5881,1,4704,1177,591,473,118,0.15374064445495605,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__attr_only__GradientBoosting.json,0.5,0.10025488530161428,118,15,0.1271186440677966,0.1271186440677966,1.0,11,1,0.09090909090909091,0.00847457627118644,1.0,58,8,0.13793103448275862,0.06779661016949153,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,attr_only,IsolationForest,ok,5881,1,4704,1177,591,473,118,0.6435484886169434,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__attr_only__IsolationForest.json,0.5,0.10025488530161428,118,15,0.1271186440677966,0.1271186440677966,1.0,11,1,0.09090909090909091,0.00847457627118644,1.0,58,8,0.13793103448275862,0.06779661016949153,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,attr_only,LogisticRegression,ok,5881,1,4704,1177,591,473,118,0.00505375862121582,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__attr_only__LogisticRegression.json,0.5,0.10025488530161428,118,15,0.1271186440677966,0.1271186440677966,1.0,11,1,0.09090909090909091,0.00847457627118644,1.0,58,8,0.13793103448275862,0.06779661016949153,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,attr_only,RandomForest,ok,5881,1,4704,1177,591,473,118,1.2205336093902588,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__attr_only__RandomForest.json,0.5,0.10025488530161428,118,15,0.1271186440677966,0.1271186440677966,1.0,11,1,0.09090909090909091,0.00847457627118644,1.0,58,8,0.13793103448275862,0.06779661016949153,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,degree_only,ExtraTrees,ok,5881,9,4704,1177,591,473,118,0.6255903244018555,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__degree_only__ExtraTrees.json,0.8709607720747108,0.6262279608831551,118,71,0.6016949152542372,0.6016949152542372,1.0,11,10,0.9090909090909091,0.0847457627118644,1.0,58,46,0.7931034482758621,0.3898305084745763,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,degree_only,GradientBoosting,ok,5881,9,4704,1177,591,473,118,1.0822076797485352,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__degree_only__GradientBoosting.json,0.8766184920215746,0.5898646556174635,118,65,0.5508474576271186,0.5508474576271186,1.0,11,10,0.9090909090909091,0.0847457627118644,1.0,58,38,0.6551724137931034,0.3220338983050847,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,degree_only,IsolationForest,ok,5881,9,4704,1177,591,473,118,0.7431597709655762,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__degree_only__IsolationForest.json,0.6630335622029098,0.15207932843415806,118,9,0.07627118644067797,0.07627118644067797,1.0,11,4,0.36363636363636365,0.03389830508474576,1.0,58,8,0.13793103448275862,0.06779661016949153,1.0
Bitcoin_OTC,bitcoin_signed_graph_pseudo_labels,degree_only,LogisticRegression,ok,5881,9,4704,1177,591,473,118,0.04633140563964844,C:\Users\ivan\WORK\workshops\ICDM\Ablation\ablation_trivial_baselines_outputs\results_json\Bitcoin_OTC__degree_only__LogisticRegression.json,0.8258190489908932,0.36370631909410045,118,39,0.3305084745762712,0.3305084745762712,1.0,11,5,0.45454545454545453,0.0423728813559322,1.0,58,30,0.5172413793103449,0.2542372881355932,1.0
