file,path,status,error,stage,dataset,group,contamination,n_rows,n_devices,n_features,n_top_anomalies,n_top_anomaly_days,runtime_sec,ranked_csv,top_csv,device_csv
agg__agg_kkt_47_11_simple_core_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_simple_core_contam_0.05.json,ok,,agg_kkt_level,agg_kkt_47_11,simple_core,0.05,34443,,138,1723.0,,16.401012182235718,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__top_anomalies.csv,
agg__agg_kkt_47_11_temporal_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_temporal_contam_0.01.json,skipped_no_features,,,agg_kkt_47_11,temporal,0.01,34443,,0,,,,,,
agg__agg_kkt_47_11_temporal_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_temporal_contam_0.03.json,skipped_no_features,,,agg_kkt_47_11,temporal,0.03,34443,,0,,,,,,
agg__agg_kkt_47_11_temporal_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_temporal_contam_0.05.json,skipped_no_features,,,agg_kkt_47_11,temporal,0.05,34443,,0,,,,,,
agg__agg_kkt_47_11_turnover_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_turnover_contam_0.01.json,ok,,agg_kkt_level,agg_kkt_47_11,turnover,0.01,34443,,107,345.0,,20.26685619354248,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__top_anomalies.csv,
agg__agg_kkt_47_11_turnover_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_turnover_contam_0.03.json,ok,,agg_kkt_level,agg_kkt_47_11,turnover,0.03,34443,,107,1034.0,,18.288036108016968,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__top_anomalies.csv,
agg__agg_kkt_47_11_turnover_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_turnover_contam_0.05.json,ok,,agg_kkt_level,agg_kkt_47_11,turnover,0.05,34443,,107,1723.0,,17.53811001777649,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__top_anomalies.csv,
agg__agg_kkt_47_19_all_numeric_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_all_numeric_contam_0.01.json,ok,,agg_kkt_level,agg_kkt_47_19,all_numeric,0.01,15491,,150,155.0,,7.052000999450684,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__top_anomalies.csv,
agg__agg_kkt_47_19_all_numeric_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_all_numeric_contam_0.03.json,ok,,agg_kkt_level,agg_kkt_47_19,all_numeric,0.03,15491,,150,465.0,,7.185003995895386,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__top_anomalies.csv,
agg__agg_kkt_47_19_all_numeric_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_all_numeric_contam_0.05.json,ok,,agg_kkt_level,agg_kkt_47_19,all_numeric,0.05,15491,,150,775.0,,9.373003005981445,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__top_anomalies.csv,
agg__agg_kkt_47_19_benford_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_benford_contam_0.01.json,skipped_no_features,,,agg_kkt_47_19,benford,0.01,15491,,0,,,,,,
agg__agg_kkt_47_19_benford_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_benford_contam_0.03.json,skipped_no_features,,,agg_kkt_47_19,benford,0.03,15491,,0,,,,,,
agg__agg_kkt_47_19_benford_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_benford_contam_0.05.json,skipped_no_features,,,agg_kkt_47_19,benford,0.05,15491,,0,,,,,,
agg__agg_kkt_47_19_bills_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_19_bills_contam_0.01.json,ok,,agg_kkt_level,agg_kkt_47_19,bills,0.01,15491,,11,155.0,,11.201002836227417,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__top_anomalies.csv,
