dataset,regime,ablation,model,status,error,n_nodes,n_edges_perturbed,n_features,n_train,n_test,n_anomalies_total,n_anomalies_train,n_anomalies_test,runtime_sec,json_file,roc_auc,pr_auc,k_at_pos,hits_at_pos,precision_at_k_at_pos,recall_at_k_at_pos,hits_at_k_at_pos,k_at_1pct,hits_at_1pct,precision_at_k_at_1pct,recall_at_k_at_1pct,hits_at_k_at_1pct,k_at_5pct,hits_at_5pct,precision_at_k_at_5pct,recall_at_k_at_5pct,hits_at_k_at_5pct,k_at_10pct,hits_at_10pct,precision_at_k_at_10pct,recall_at_k_at_10pct,hits_at_k_at_10pct
FraudAmazon,attr_dropout_25,struct_only,GradientBoosting,ok,,11944,9557648,23,6910,1729,821,637,184,6.637505292892456,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__struct_only__GradientBoosting.json,0.8188546503447306,0.41327204194285955,184,82,0.44565217391304346,0.44565217391304346,1.0,17,12,0.7058823529411765,0.06521739130434782,1.0,86,44,0.5116279069767442,0.2391304347826087,1.0,172,79,0.45930232558139533,0.42934782608695654,1.0
FraudAmazon,attr_dropout_25,struct_only,IsolationForest,ok,,11944,9557648,23,6910,1729,821,637,184,0.7860007286071777,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__struct_only__IsolationForest.json,0.5584142394822006,0.12376720599486007,184,28,0.15217391304347827,0.15217391304347827,1.0,17,0,0.0,0.0,0.0,86,9,0.10465116279069768,0.04891304347826087,1.0,172,26,0.1511627906976744,0.14130434782608695,1.0
FraudAmazon,attr_dropout_25,struct_only,LogisticRegression,ok,,11944,9557648,23,6910,1729,821,637,184,0.06501293182373047,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__struct_only__LogisticRegression.json,0.7974778387505276,0.3129200019524093,184,73,0.3967391304347826,0.3967391304347826,1.0,17,6,0.35294117647058826,0.03260869565217391,1.0,86,31,0.36046511627906974,0.16847826086956522,1.0,172,67,0.38953488372093026,0.3641304347826087,1.0
FraudAmazon,attr_dropout_25,struct_only,RandomForest,ok,,11944,9557648,23,6910,1729,821,637,184,2.0449981689453125,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_25__struct_only__RandomForest.json,0.7926463345996904,0.40020792796982846,184,72,0.391304347826087,0.391304347826087,1.0,17,14,0.8235294117647058,0.07608695652173914,1.0,86,44,0.5116279069767442,0.2391304347826087,1.0,172,70,0.4069767441860465,0.3804347826086957,1.0
FraudAmazon,attr_dropout_50,attr_only,ExtraTrees,ok,,11944,9557648,25,6910,1729,821,637,184,0.7059986591339111,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__ExtraTrees.json,0.9637259040382721,0.8860813228242862,184,152,0.8260869565217391,0.8260869565217391,1.0,17,17,1.0,0.09239130434782608,1.0,86,85,0.9883720930232558,0.46195652173913043,1.0,172,145,0.8430232558139535,0.7880434782608695,1.0
FraudAmazon,attr_dropout_50,attr_only,GradientBoosting,ok,,11944,9557648,25,6910,1729,821,637,184,1.3639976978302002,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__GradientBoosting.json,0.9867190797804981,0.9324799994922611,184,161,0.875,0.875,1.0,17,17,1.0,0.09239130434782608,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,155,0.9011627906976745,0.842391304347826,1.0
FraudAmazon,attr_dropout_50,attr_only,IsolationForest,ok,,11944,9557648,25,6910,1729,821,637,184,0.8330011367797852,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__IsolationForest.json,0.8797593921485858,0.42716637787696365,184,86,0.4673913043478261,0.4673913043478261,1.0,17,8,0.47058823529411764,0.043478260869565216,1.0,86,46,0.5348837209302325,0.25,1.0,172,81,0.47093023255813954,0.44021739130434784,1.0
FraudAmazon,attr_dropout_50,attr_only,LogisticRegression,ok,,11944,9557648,25,6910,1729,821,637,184,0.07500052452087402,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__LogisticRegression.json,0.9724074855775997,0.8801114092128262,184,154,0.8369565217391305,0.8369565217391305,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,83,0.9651162790697675,0.45108695652173914,1.0,172,148,0.8604651162790697,0.8043478260869565,1.0
FraudAmazon,attr_dropout_50,attr_only,RandomForest,ok,,11944,9557648,25,6910,1729,821,637,184,1.324002742767334,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__attr_only__RandomForest.json,0.9788078654847332,0.903102975329734,184,158,0.8586956521739131,0.8586956521739131,1.0,17,16,0.9411764705882353,0.08695652173913043,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,154,0.8953488372093024,0.8369565217391305,1.0
FraudAmazon,attr_dropout_50,degree_only,ExtraTrees,ok,,11944,9557648,9,6910,1729,821,637,184,0.8260021209716797,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__degree_only__ExtraTrees.json,0.7793495849162796,0.3229874395535283,184,64,0.34782608695652173,0.34782608695652173,1.0,17,11,0.6470588235294118,0.059782608695652176,1.0,86,36,0.4186046511627907,0.1956521739130435,1.0,172,62,0.36046511627906974,0.33695652173913043,1.0
FraudAmazon,attr_dropout_50,degree_only,GradientBoosting,ok,,11944,9557648,9,6910,1729,821,637,184,3.9249978065490723,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__degree_only__GradientBoosting.json,0.815115379203602,0.3822110570806079,184,84,0.45652173913043476,0.45652173913043476,1.0,17,10,0.5882352941176471,0.05434782608695652,1.0,86,43,0.5,0.23369565217391305,1.0,172,79,0.45930232558139533,0.42934782608695654,1.0
FraudAmazon,attr_dropout_50,degree_only,IsolationForest,ok,,11944,9557648,9,6910,1729,821,637,184,0.8059995174407959,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__degree_only__IsolationForest.json,0.6184079076966371,0.15519592216115596,184,37,0.20108695652173914,0.20108695652173914,1.0,17,1,0.058823529411764705,0.005434782608695652,1.0,86,14,0.16279069767441862,0.07608695652173914,1.0,172,36,0.20930232558139536,0.1956521739130435,1.0
FraudAmazon,attr_dropout_50,degree_only,LogisticRegression,ok,,11944,9557648,9,6910,1729,821,637,184,0.04199957847595215,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__degree_only__LogisticRegression.json,0.7932074011537921,0.3137730101236715,184,72,0.391304347826087,0.391304347826087,1.0,17,7,0.4117647058823529,0.03804347826086957,1.0,86,36,0.4186046511627907,0.1956521739130435,1.0,172,68,0.3953488372093023,0.3695652173913043,1.0
FraudAmazon,attr_dropout_50,degree_only,RandomForest,ok,,11944,9557648,9,6910,1729,821,637,184,2.0789997577667236,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__degree_only__RandomForest.json,0.7686822850710567,0.326182353114075,184,66,0.358695652173913,0.358695652173913,1.0,17,11,0.6470588235294118,0.059782608695652176,1.0,86,40,0.46511627906976744,0.21739130434782608,1.0,172,65,0.37790697674418605,0.3532608695652174,1.0
FraudAmazon,attr_dropout_50,full,ExtraTrees,ok,,11944,9557648,48,6910,1729,821,637,184,0.8620026111602783,C:\Users\ivan\WORK\workshops\ICDM\Ablation\robustness_attribute_structure_outputs\results_json\FraudAmazon__attr_dropout_50__full__ExtraTrees.json,0.9581257914731953,0.8348502092687416,184,132,0.717391304347826,0.717391304347826,1.0,17,17,1.0,0.09239130434782608,1.0,86,84,0.9767441860465116,0.45652173913043476,1.0,172,128,0.7441860465116279,0.6956521739130435,1.0
