kkt_id,ts_final_score,ts_best_device_score,ts_mean_device_score,ts_max_daily_score,ts_total_anomaly_days,ts_total_days,ts_n_appearances
0dc4d8e9a03b4c9f53f3d4959e460a97,1.0,1.0,0.8745225572189458,1.0,1054,92,21
c655896a52d9aa7f4e276bea7879dd77,1.0,1.0,0.9333429828220472,1.0,1632,92,21
10e44d2a17dd86d4294563fd6c6495ca,1.0,1.0,0.9252632578839868,1.0,1131,92,21
d1a576f8046708d21ef33735bc1e6e50,1.0,1.0,0.8442968979299543,1.0,933,92,21
39bedcfb7f95f755fdb4ac1208c739fb,1.0,1.0,0.9223455023969056,1.0,1131,92,21
f2b732d7dbf2e0d098f52c76a615330f,1.0,1.0,0.8284231212422584,1.0,1196,92,21
9fecb2b0616a86dd7990325160672de8,1.0,1.0,0.9215258936218982,1.0,888,92,21
6a53856e28c95beb8b5f2db2a3f6bc1f,1.0,1.0,0.9572050295384132,1.0,888,92,21
83e6a44d86a01fa7970473d1fad3b158,1.0,1.0,0.8509112775629257,1.0,1087,92,21
6afdb1527137610bcd949b0b9bf2e98f,1.0,1.0,0.7611314594409296,1.0,851,92,21
f0d9a19fa5265fc05de7496cdb60ae46,1.0,1.0,0.925641111150699,1.0,1310,92,21
9e60749c9592ea4415402614cb78ba66,1.0,1.0,0.888629784983816,1.0,738,92,21
1158082a263a9ccfc0031c315506f794,1.0,1.0,0.8829109581449951,1.0,725,92,21
f0aa31bed8d7236e96f64c54a5bee7f7,1.0,1.0,0.9095210648689754,1.0,1263,92,21
d2ed9fb33671803fa1aec5cb1bab4e74,1.0,1.0,0.8709311921383212,1.0,907,92,21
3f412159eecd0d9b25a3bfab07a3755e,1.0,1.0,0.8962750909267644,1.0,741,92,21
d2fbd66799b223b2b8ef411241437a40,1.0,1.0,0.7576546990673679,1.0,1283,92,21
6ac616c8c33c3493577eaac91b2f9b51,1.0,1.0,0.9777967396119736,1.0,1398,92,21
f10d689545de75ea484e646e33cb1ff6,1.0,1.0,0.7592416499501893,1.0,1045,92,21
3fc1204c7d7d6e7c95723902fee62733,1.0,1.0,0.9494551596377372,1.0,880,92,21
3fd5c228743b0a64a0279cc790d55171,1.0,1.0,0.966764194586698,1.0,1403,92,21
d3103c333f626a634f3f199dd2b9ed4e,1.0,1.0,0.8969109905981354,1.0,1121,92,21
4007a8ba3d38af9eb692ebaaf62b553b,1.0,1.0,0.9773652339887858,1.0,1207,92,21
f04d7a5c522499c7966e111151e0c689,1.0,1.0,0.789421893435746,1.0,1291,92,21
1176aaced0192c0e2c7c5bdcecda321e,1.0,1.0,0.9646106094487856,1.0,1281,92,21
02b458a20f215eba9d2189fb80111d20,1.0,1.0,0.8959402673861913,1.0,1253,92,21
9d458a83cf05b360815bbd85c933cbb9,1.0,1.0,0.8257571608715847,1.0,904,92,21
c514a329aa86df774d008ef9bdbb224f,1.0,1.0,0.8718416903084625,1.0,727,92,21
02857b42f865f7a4e742375d34456ff4,1.0,1.0,0.9407492365178876,1.0,747,92,21
9fe9e3bbf7041427c8bc6c7847dd36b6,1.0,1.0,0.9418099360814948,1.0,694,92,21
b333f2ed6e461235914a4daac7d689be,1.0,1.0,0.9256679512887944,1.0,1447,92,21
6c66ba67eab0ccaca854ea8db70c3886,1.0,1.0,0.7952866579417591,1.0,1342,92,21
0da840bbb9c49960d1affb4b462a625e,1.0,1.0,0.8684010134904968,1.0,761,92,21
f2468768ce4c7c11d7fbdb9d23928036,1.0,1.0,0.8795356789620172,1.0,1051,92,21
f224497345e317fb09da9fd50215b534,1.0,1.0,0.9130376455627074,1.0,756,92,21
9f878f8b883090c4d7367791d14d0af8,1.0,1.0,0.948399529850046,1.0,707,92,21
f21d519e9cfad2a105ba71ecc380bd65,1.0,1.0,0.9523496336341924,1.0,882,92,21
2371dbe9c713ff4241c19d9619c37d0e,1.0,1.0,0.8635707328180109,1.0,808,92,21
1ad8f8b22a51348c43e70bad32662716,1.0,1.0,0.9512169647167106,1.0,977,92,21
1ae2e3c2159cd1477d5b3b7693c5e7b5,1.0,1.0,0.8619497507065251,1.0,781,92,21
9ec2654894b9851bfa1e595320f353cb,1.0,1.0,0.825394999254119,1.0,890,92,21
3db3ebe1fa889df5e883306c7f9330a5,1.0,1.0,0.8842970487188659,1.0,721,92,21
c55bd5d73bee168680fe8cfa36ea7bd1,1.0,1.0,0.801229462661705,1.0,776,92,21
2351b920425cc128919126da392bf52d,1.0,1.0,0.9747495297953572,1.0,1410,92,21
3df41c6542813fe65d878679cb074196,1.0,1.0,0.908207580715442,1.0,707,92,21
d297dea8a4fbc3eb0b9f02cfe3095f7f,1.0,1.0,0.9469335390262176,1.0,898,92,21
3e6dcf63df399458faae4f3952d80a65,1.0,1.0,0.8909190657936067,1.0,872,92,21
3e837d73aff8f7f02d455e8dbe02aba6,1.0,1.0,0.8907954006775178,1.0,761,92,21
8384303cacbb84b5832f8e83ee9e6872,1.0,1.0,0.8168415055220641,1.0,1133,92,21
97fe3963d9f1b76cdffcc909e2a61236,1.0,1.0,0.9131895584433194,1.0,1059,92,21
97636bb54eeee3bcb5d06d381b36b9f7,1.0,1.0,0.7681606693272478,1.0,1302,92,21
f5a8907e15f2b9cdab325952ddaeae89,1.0,1.0,0.783127276851495,1.0,1376,92,21
909cc632ecc8c0b5615caf832daa8e0f,1.0,1.0,0.7898284259343511,1.0,772,92,21
8a569f0713f32aa3d988ca34781b9a5c,1.0,1.0,0.8474430744019609,1.0,741,92,21
90c0aaeca1e8fb7a3623e3d55b533aba,1.0,1.0,0.944389923332356,1.0,893,92,21
0bdebe38e0f8387cf5a6efcea24977da,1.0,1.0,0.8559563517876275,1.0,870,92,21
511f9ce7c22a20ea927995e448ece9a7,1.0,1.0,0.8951554054303253,1.0,953,92,21
512679b27150cfee5f05131bab6bda47,1.0,1.0,0.9170220281713084,1.0,993,92,21
1545519e1106431bdf88feb324fd199b,1.0,1.0,0.7757395961274254,1.0,1195,92,21
050325f979665d30eecf86d46bc06ef1,1.0,1.0,0.9267130991173672,1.0,1247,92,21
e148ae408784f67c514c5ca79bb4697d,1.0,1.0,0.9264630262082844,1.0,1295,92,21
909c9015a374a0b9eb474178ca2c477e,1.0,1.0,0.786940687490583,1.0,964,92,21
1d8295f29f4a4052c0ed8496d2b104b3,1.0,1.0,0.9539966880900096,1.0,956,92,21
51ed2f89421301aa4dfad2324a0e7340,1.0,1.0,0.7760657426899739,1.0,1236,92,21
e0e1da4d68117157eeaa7f39481072a1,1.0,1.0,0.9465918999738958,1.0,674,92,21
5c3df861604da99580c45ed6fa6cbfd7,1.0,1.0,0.8855871353042608,1.0,1080,92,21
e0d033c56ee1cb6ffd19545c7b61cc1d,1.0,1.0,0.9664672604549096,1.0,1087,92,21
bd3f150bc5f4e32f9c1df697bb536f08,1.0,1.0,0.8978538012729949,1.0,737,92,21
5344f11ad570ac0bc1d4f5b515e95add,1.0,1.0,0.9228196787893038,1.0,692,92,21
535a439fef9921d8f646b535857d99ca,1.0,1.0,0.8414491233997652,1.0,918,92,21
5bf27f69ff680b4d99f30c3190961a55,1.0,1.0,0.885254266112905,1.0,1181,92,21
50c37900d841d816b03666da3c120d1f,1.0,1.0,0.8935347261508177,1.0,1260,92,21
50ba0dbc5c53611a248191e82d71ec9f,1.0,1.0,0.954576174333846,1.0,842,92,21
e052cfd001226c1aba5bf36c7f1da865,1.0,1.0,0.8548501282357021,1.0,1077,92,21
5da86218ffedb2c8de6bbcc8f5eff8a9,1.0,1.0,0.8601947053211263,1.0,989,92,21
8912ac08c02f2124ab31dd6250520206,1.0,1.0,0.9173752944443104,1.0,860,92,21
4ed69874d5a7d37cbcc6aaf280a9bbf1,1.0,1.0,0.7809762221845661,1.0,1434,92,21
13de287fcae5a92d3bf2df66e738e673,1.0,1.0,0.9409319525339612,1.0,749,92,21
1576acb53a45af717395a5bdd2be4149,1.0,1.0,0.9103918347324558,1.0,841,92,21
da598b4c9f4f2cffcdf011129067c9ca,1.0,1.0,0.7806721746464869,1.0,1348,92,21
