file,path,stage,dataset,group,contamination,status,error,n_rows,n_devices,n_features,n_top_anomalies,n_top_anomaly_days,top_score,median_score,runtime_sec,ranked_csv,top_csv,device_csv,created_at
agg__agg_kkt_47_11_cross_corr_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_cross_corr_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,cross_corr,0.03,ok,,34443,,14,1034.0,,1.0,0.16684427046350253,26.989867210388184,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.03__top_anomalies.csv,,2026-05-18 07:56:25
agg__agg_kkt_47_11_cross_corr_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_cross_corr_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,cross_corr,0.05,ok,,34443,,14,1723.0,,1.0,0.16684427046350253,25.763094663619995,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_cross_corr_contam_0.05__top_anomalies.csv,,2026-05-18 07:56:51
agg__agg_kkt_47_11_items_price_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_items_price_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,items_price,0.01,ok,,34443,,8,345.0,,1.0,0.05758869812234337,28.087613821029663,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__top_anomalies.csv,,2026-05-17 16:09:12
agg__agg_kkt_47_11_items_price_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_items_price_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,items_price,0.03,ok,,34443,,8,1034.0,,1.0,0.0575886981223434,27.954680681228638,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__top_anomalies.csv,,2026-05-17 16:09:40
agg__agg_kkt_47_11_items_price_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_items_price_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,items_price,0.05,ok,,34443,,8,1723.0,,1.0,0.0575886981223434,25.60054874420166,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__top_anomalies.csv,,2026-05-17 16:10:05
agg__agg_kkt_47_11_non_temporal_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_non_temporal_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,non_temporal,0.01,ok,,34443,,150,345.0,,1.0,0.15977277936290846,18.72800326347351,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__top_anomalies.csv,,2026-05-17 16:11:16
agg__agg_kkt_47_11_non_temporal_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_non_temporal_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,non_temporal,0.03,ok,,34443,,150,1034.0,,1.0,0.15977277936290846,16.57300090789795,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__top_anomalies.csv,,2026-05-17 16:11:33
agg__agg_kkt_47_11_non_temporal_contam_0.05.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_non_temporal_contam_0.05.json,agg_kkt_level,agg_kkt_47_11,non_temporal,0.05,ok,,34443,,150,1723.0,,1.0,0.15977277936290848,16.777996063232422,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__top_anomalies.csv,,2026-05-17 16:11:49
agg__agg_kkt_47_11_payment_mix_contam_0.01.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_payment_mix_contam_0.01.json,agg_kkt_level,agg_kkt_47_11,payment_mix,0.01,ok,,34443,,22,345.0,,1.0,0.1642367504043306,16.983002185821533,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__top_anomalies.csv,,2026-05-17 16:10:22
agg__agg_kkt_47_11_payment_mix_contam_0.03.json,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_json\agg__agg_kkt_47_11_payment_mix_contam_0.03.json,agg_kkt_level,agg_kkt_47_11,payment_mix,0.03,ok,,34443,,22,1034.0,,1.0,0.16423675040433064,17.343998908996582,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__top_anomalies.csv,,2026-05-17 16:10:40
